,group,kval,rhoval,Hi,method,baseline_1,baseline_2,IHi
0,amateurs,19,0.75,0.8938866001187524,Potential homophily,0.8947368421052632,,-0.015656827434798497
0,experts,19,1,0.66295014469057,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,1,0.39201642540470766,Real homophily,0.8947368421052632,0.42859472897987466,-4.819271356840656
0,experts,19,1,0.3826698114587282,Potential homophily,0.09774436090225563,,
0,amateurs,19,1,0.8978955644881115,Potential homophily,0.8947368421052632,,0.022714688671923822
0,experts,19,1.25,0.6777402149748942,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,1.25,0.39632101073127135,Real homophily,0.8947368421052632,0.42859472897987466,-4.778070325857833
0,experts,19,1.25,0.3816790699542101,Potential homophily,0.09774436090225563,,
0,amateurs,19,1.25,0.9016423716852808,Potential homophily,0.8947368421052632,,0.0585769861305448
0,experts,19,1.5,0.6910220306166229,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,1.5,0.40236309488619576,Real homophily,0.8947368421052632,0.42859472897987466,-4.720238948946414
0,experts,19,1.5,0.3808107229621863,Potential homophily,0.09774436090225563,,
0,amateurs,19,1.5,0.9051622445686631,Potential homophily,0.8947368421052632,,0.09226719801434674
0,experts,23,0,0.5604467348653378,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,23,0,0.42096875176892173,Real homophily,0.8947368421052632,0.42859472897987466,-4.542156233068893
0,experts,23,0,0.36606897022086116,Potential homophily,0.09774436090225563,,
0,amateurs,23,0,0.8653795044026689,Potential homophily,0.8947368421052632,,-0.2885104578601698
0,experts,23,0.25,0.594396018487152,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,23,0.25,0.39416994885722756,Real homophily,0.8947368421052632,0.42859472897987466,-4.7986590609379665
0,experts,23,0.25,0.36461401788885306,Potential homophily,0.09774436090225563,,
0,amateurs,23,0.25,0.8712313190615537,Potential homophily,0.8947368421052632,,-0.23250023183941484
0,experts,23,0.5,0.6172829791176354,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,23,0.5,0.3932068838162392,Real homophily,0.8947368421052632,0.42859472897987466,-4.8078769691874275
0,experts,23,0.5,0.3636141443799089,Potential homophily,0.09774436090225563,,
0,amateurs,23,0.5,0.876402925863509,Potential homophily,0.8947368421052632,,-0.18300056673498577
0,experts,23,0.75,0.6372968701405625,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,23,0.75,0.39363495679339106,Real homophily,0.8947368421052632,0.42859472897987466,-4.803779699263258
0,experts,23,0.75,0.3628915334462331,Potential homophily,0.09774436090225563,,
0,amateurs,23,0.75,0.881222116577586,Potential homophily,0.8947368421052632,,-0.13687402704310597
0,experts,23,1,0.6550026386521627,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,23,1,0.39569273701151875,Real homophily,0.8947368421052632,0.42859472897987466,-4.784083802889751
0,experts,23,1,0.3623541520035364,Potential homophily,0.09774436090225563,,
0,amateurs,23,1,0.8857528246217836,Potential homophily,0.8947368421052632,,-0.09350867862007141
